nomes,idade,cidade,estado,cpf,cnpj,qtd_clientes_estado,media_idade,CPF_Valido_Invalido,CNPJ_Valido_Invalido,Quantidade CPF Válidos,Quantidade de CPF Inválidos,Quantidade CNPJ Válidos,Quantidade de CNPJ Inválidos,Quantidade_Clientes
Kelsey Hicks,22,SERRA DO NAVIO,AP,73800120704,54407713,371,53.7831,True,True,10000,0,5061,4939,10000
Tanya Boyd,88,ABAÍRA,BA,35813255605,08803153461585,371,53.7831,True,False,10000,0,5061,4939,10000
David Garcia,31,ABAIARA,CE,10210388811,65359713,371,53.7831,True,True,10000,0,5061,4939,10000
Michelle Sullivan,45,Brasília,distrito federal,60338450726,18355115649365,6,53.7831,True,False,10000,0,5061,4939,10000
Paula Wells,55,AFONSO CLÁUDIO,ES,31166242919,41934513,371,53.7831,True,True,10000,0,5061,4939,10000
Lisa Fisher,49,ABADIA DE GOIÁS,GO,33626344436,79856843725548,371,53.7831,True,False,10000,0,5061,4939,10000
Kayla Martin,79,AÇAILÂNDIA,MA,49643966062,24202713,371,53.7831,True,True,10000,0,5061,4939,10000
Kathryn Johnson,28,ABADIA DOS DOURADOS,MG,14503645510,14740883542900,340,53.7831,True,False,10000,0,5061,4939,10000
Craig Wallace,51,ÁGUA CLARA,MS,72852203456,52726413,370,53.7831,True,True,10000,0,5061,4939,10000
Haley Serrano,31,ACORIZAL,MT,00904064000,82175250951962,370,53.7831,True,False,10000,0,5061,4939,10000
Thomas Lindsey,88,ABAETETUBA,PA,13577872004,47759613,370,53.7831,True,True,10000,0,5061,4939,10000
Andrew Francis,69,ÁGUA BRANCA,PB,06694239980,52081659158337,370,53.7831,True,False,10000,0,5061,4939,10000
Tiffany Dean,44,ABREU E LIMA,PE,10858476401,92164313,370,53.7831,True,True,10000,0,5061,4939,10000
Michael Thompson,76,ACAUÃ,PI,75747818694,18684837331789,370,53.7831,True,False,10000,0,5061,4939,10000
Dalton Summers,50,ABATIÁ,PR,9507015728,84757112,370,53.7831,True,True,10000,0,5061,4939,10000
Debra Jennings,58,ANGRA DOS REIS,RJ,54816784896,69500353849608,355,53.7831,True,False,10000,0,5061,4939,10000
Andrew Olson,88,ACARI,RN,99281336383,9239413,370,53.7831,True,True,10000,0,5061,4939,10000
Sarah Brown,35,ALTA FLORESTA D'OESTE,RO,17281287224,41420682752383,370,53.7831,True,False,10000,0,5061,4939,10000
Miranda Pittman,37,AMAJARI,RR,71722038012,59659913,370,53.7831,True,True,10000,0,5061,4939,10000
Pamela Manning,68,ACEGUÁ,RS,00067814891,63100755162838,370,53.7831,True,False,10000,0,5061,4939,10000
Ann Collins,18,ABDON BATISTA,SC,92848876310,50612613,370,53.7831,True,True,10000,0,5061,4939,10000
Kimberly Garcia,60,AMPARO DE SÃO FRANCISCO,SE,52063020906,83818138763026,370,53.7831,True,False,10000,0,5061,4939,10000
Billy Cross,81,ADAMANTINA,SP,25745426659,8698412,364,53.7831,True,True,10000,0,5061,4939,10000
Charles Rivera,60,ABREULÂNDIA,TO,86569526502,18767344587421,370,53.7831,True,False,10000,0,5061,4939,10000
Abigail Bradley,41,ACRELÂNDIA,AC,14120370852,7521513,371,53.7831,True,True,10000,0,5061,4939,10000
Jared Hernandez,72,ÁGUA BRANCA,AL,51072799707,70268860094409,371,53.7831,True,False,10000,0,5061,4939,10000
Scott Jackson,87,ALVARÃES,AM,79455779978,31831512,371,53.7831,True,True,10000,0,5061,4939,10000
Gregory Brown,31,SERRA DO NAVIO,AP,66210964885,34139727088243,371,53.7831,True,False,10000,0,5061,4939,10000
Kelly Jenkins,79,ABAÍRA,BA,63740436506,57302613,371,53.7831,True,True,10000,0,5061,4939,10000
Craig Reynolds,82,ABAIARA,CE,44084897434,42490414458532,371,53.7831,True,False,10000,0,5061,4939,10000
Cindy Brown,28,Brasília,distrito federal,11561438537,89158113,6,53.7831,True,True,10000,0,5061,4939,10000
Diana Armstrong,50,AFONSO CLÁUDIO,ES,21054162336,09255575472722,371,53.7831,True,False,10000,0,5061,4939,10000
Travis Morris,35,ABADIA DE GOIÁS,GO,50975942239,96592513,371,53.7831,True,True,10000,0,5061,4939,10000
Edwin Martin,44,AÇAILÂNDIA,MA,72655983262,41619731869500,371,53.7831,True,False,10000,0,5061,4939,10000
Linda Vargas MD,62,ABADIA DOS DOURADOS,MG,66562524512,22415813,340,53.7831,True,True,10000,0,5061,4939,10000
Brianna Francis,82,ÁGUA CLARA,MS,70450747000,64010620614680,370,53.7831,True,False,10000,0,5061,4939,10000
Deborah Hill,33,ACORIZAL,MT,78461044894,12817913,370,53.7831,True,True,10000,0,5061,4939,10000
Lindsey Koch,72,ABAETETUBA,PA,81900740834,31706819238930,370,53.7831,True,False,10000,0,5061,4939,10000
Charles Yates,71,ÁGUA BRANCA,PB,65586683784,7861713,370,53.7831,True,True,10000,0,5061,4939,10000
Matthew Martinez,85,ABREU E LIMA,PE,43986854304,21120314419212,370,53.7831,True,False,10000,0,5061,4939,10000
Victor Bradley,77,ACAUÃ,PI,94252857058,47357813,370,53.7831,True,True,10000,0,5061,4939,10000
Joshua Carr,25,ABATIÁ,PR,23939707112,05835122020570,370,53.7831,True,False,10000,0,5061,4939,10000
Evan Cochran,68,ANGRA DOS REIS,RJ,70166695564,77938513,355,53.7831,True,True,10000,0,5061,4939,10000
John Cline,62,ACARI,RN,48406074604,77536642656200,370,53.7831,True,False,10000,0,5061,4939,10000
Sarah Ellis,20,ALTA FLORESTA D'OESTE,RO,11565659791,27017113,370,53.7831,True,True,10000,0,5061,4939,10000
Amy Burnett,20,AMAJARI,RR,05461868665,78896522190996,370,53.7831,True,False,10000,0,5061,4939,10000
Donald Edwards,48,ACEGUÁ,RS,96525798582,74381213,370,53.7831,True,True,10000,0,5061,4939,10000
Michael Smith,30,ABDON BATISTA,SC,98860416680,13228968233809,370,53.7831,True,False,10000,0,5061,4939,10000
Jordan Green,32,AMPARO DE SÃO FRANCISCO,SE,74265673627,93322513,370,53.7831,True,True,10000,0,5061,4939,10000
Jennifer Perez,18,ADAMANTINA,SP,59999876447,67315158075059,364,53.7831,True,False,10000,0,5061,4939,10000
Kimberly Berry,50,ABREULÂNDIA,TO,86157181648,67528213,370,53.7831,True,True,10000,0,5061,4939,10000
Micheal Rhodes,64,ACRELÂNDIA,AC,01027123015,01567761068587,371,53.7831,True,False,10000,0,5061,4939,10000
Maria Holt,23,ÁGUA BRANCA,AL,44011869902,76858913,371,53.7831,True,True,10000,0,5061,4939,10000
Sara Lopez,87,ALVARÃES,AM,08215363628,06841435616413,371,53.7831,True,False,10000,0,5061,4939,10000
Max Velasquez,21,SERRA DO NAVIO,AP,82095280172,94975713,371,53.7831,True,True,10000,0,5061,4939,10000
Dawn Mcdonald,81,ABAÍRA,BA,05938215994,20546307325236,371,53.7831,True,False,10000,0,5061,4939,10000
Brittany Brown,53,ABAIARA,CE,31627419713,55228713,371,53.7831,True,True,10000,0,5061,4939,10000
Patricia Meyer MD,31,Brasília,distrito federal,43243581338,68879919276985,6,53.7831,True,False,10000,0,5061,4939,10000
David Ray,37,AFONSO CLÁUDIO,ES,29800343555,73864413,371,53.7831,True,True,10000,0,5061,4939,10000
Anthony Gross,39,ABADIA DE GOIÁS,GO,96562118476,46241882129385,371,53.7831,True,False,10000,0,5061,4939,10000
Brittany Valencia,67,AÇAILÂNDIA,MA,28914778045,10142813,371,53.7831,True,True,10000,0,5061,4939,10000
Logan Powell,60,ABADIA DOS DOURADOS,MG,79208533204,80572131619808,340,53.7831,True,False,10000,0,5061,4939,10000
Andrew Mckinney,44,ÁGUA CLARA,MS,12452990698,57504412,370,53.7831,True,True,10000,0,5061,4939,10000
Leroy Murphy,70,ACORIZAL,MT,33613085690,14759051804990,370,53.7831,True,False,10000,0,5061,4939,10000
Kevin Burton,58,ABAETETUBA,PA,98943583656,90281213,370,53.7831,True,True,10000,0,5061,4939,10000
Gregory Hayes,58,ÁGUA BRANCA,PB,17490517290,31171027002548,370,53.7831,True,False,10000,0,5061,4939,10000
Jose Campbell,53,ABREU E LIMA,PE,18078365330,80533213,370,53.7831,True,True,10000,0,5061,4939,10000
Jeremy Decker,28,ACAUÃ,PI,15095314240,44638202708603,370,53.7831,True,False,10000,0,5061,4939,10000
Jenny Perez,75,ABATIÁ,PR,57306797425,54796612,370,53.7831,True,True,10000,0,5061,4939,10000
Billy Rodriguez,85,ANGRA DOS REIS,RJ,15845046254,45458605325033,355,53.7831,True,False,10000,0,5061,4939,10000
Aaron Hamilton,73,ACARI,RN,10688335993,96004513,370,53.7831,True,True,10000,0,5061,4939,10000
Kathryn Bullock,51,ALTA FLORESTA D'OESTE,RO,43297123931,94922644081407,370,53.7831,True,False,10000,0,5061,4939,10000
Rebecca Rowe,51,AMAJARI,RR,49114313421,10272813,370,53.7831,True,True,10000,0,5061,4939,10000
Kenneth Elliott,66,ACEGUÁ,RS,30165654554,94604763578359,370,53.7831,True,False,10000,0,5061,4939,10000
David Hughes,63,ABDON BATISTA,SC,52734128381,5850213,370,53.7831,True,True,10000,0,5061,4939,10000
Jason Rose,49,AMPARO DE SÃO FRANCISCO,SE,79161800570,81720719081859,370,53.7831,True,False,10000,0,5061,4939,10000
Donald Paul,50,ADAMANTINA,SP,37156750399,43457913,364,53.7831,True,True,10000,0,5061,4939,10000
Dawn Smith,26,ABREULÂNDIA,TO,99591451237,87072454946483,370,53.7831,True,False,10000,0,5061,4939,10000
Peter Munoz,49,ACRELÂNDIA,AC,53949179224,12276713,371,53.7831,True,True,10000,0,5061,4939,10000
Mrs. Yesenia Barrett,88,ÁGUA BRANCA,AL,74610210525,50800865697977,371,53.7831,True,False,10000,0,5061,4939,10000
Paul Thomas,88,ALVARÃES,AM,23560148880,69485513,371,53.7831,True,True,10000,0,5061,4939,10000
Dr. Jennifer Williams,36,SERRA DO NAVIO,AP,44331026108,48607469045482,371,53.7831,True,False,10000,0,5061,4939,10000
Darlene Wagner,69,ABAÍRA,BA,59392936893,11025513,371,53.7831,True,True,10000,0,5061,4939,10000
Hannah Snyder,40,ABAIARA,CE,53907880102,13540261869460,371,53.7831,True,False,10000,0,5061,4939,10000
Christopher Young,38,Brasília,distrito federal,24594975984,71848513,6,53.7831,True,True,10000,0,5061,4939,10000
Tracy Dixon,25,AFONSO CLÁUDIO,ES,27102355440,39877727099541,371,53.7831,True,False,10000,0,5061,4939,10000
Kathy Le,87,ABADIA DE GOIÁS,GO,29372127515,76533213,371,53.7831,True,True,10000,0,5061,4939,10000
Keith Luna,68,AÇAILÂNDIA,MA,80907706819,27585581694200,371,53.7831,True,False,10000,0,5061,4939,10000
Shannon Sweeney,77,ABADIA DOS DOURADOS,MG,64159559697,97541213,340,53.7831,True,True,10000,0,5061,4939,10000
Elizabeth Bell,59,ÁGUA CLARA,MS,86267356345,66053445574233,370,53.7831,True,False,10000,0,5061,4939,10000
Heidi Bradley,25,ACORIZAL,MT,56729505400,18466213,370,53.7831,True,True,10000,0,5061,4939,10000
Terry Reed,61,ABAETETUBA,PA,51608865401,27132745372467,370,53.7831,True,False,10000,0,5061,4939,10000
Diane Hernandez,41,ÁGUA BRANCA,PB,48111470576,40787513,370,53.7831,True,True,10000,0,5061,4939,10000
Rachel Warren,33,ABREU E LIMA,PE,23376857210,29002233200112,370,53.7831,True,False,10000,0,5061,4939,10000
Maria Williams,42,ACAUÃ,PI,1992242186,41141213,370,53.7831,True,True,10000,0,5061,4939,10000
Anne Miller,77,ABATIÁ,PR,17120157701,77621947090119,370,53.7831,True,False,10000,0,5061,4939,10000
Jennifer Lewis,22,ANGRA DOS REIS,RJ,78325186267,43532613,355,53.7831,True,True,10000,0,5061,4939,10000
Michael Wright,43,ACARI,RN,30197762875,14820218734400,370,53.7831,True,False,10000,0,5061,4939,10000
Brianna Robertson,53,ALTA FLORESTA D'OESTE,RO,89303268970,16406313,370,53.7831,True,True,10000,0,5061,4939,10000
Melanie Robles,21,AMAJARI,RR,73948798010,95310373128058,370,53.7831,True,False,10000,0,5061,4939,10000
Angela Williams,73,ACEGUÁ,RS,20273841890,30637613,370,53.7831,True,True,10000,0,5061,4939,10000
Derek Young,21,ABDON BATISTA,SC,65502725219,66113865011107,370,53.7831,True,False,10000,0,5061,4939,10000
Blake Cunningham,45,AMPARO DE SÃO FRANCISCO,SE,26809028587,61408213,370,53.7831,True,True,10000,0,5061,4939,10000
Kelly Adams,44,ADAMANTINA,SP,86807627092,28686902548318,364,53.7831,True,False,10000,0,5061,4939,10000
Deborah Thomas,69,ABREULÂNDIA,TO,84534791607,37602213,370,53.7831,True,True,10000,0,5061,4939,10000
Crystal Trevino,66,ACRELÂNDIA,AC,09108571996,28098660785980,371,53.7831,True,False,10000,0,5061,4939,10000
Denise West,44,ÁGUA BRANCA,AL,82636980148,20396913,371,53.7831,True,True,10000,0,5061,4939,10000
Connie King,65,ALVARÃES,AM,88810344413,62060107406561,371,53.7831,True,False,10000,0,5061,4939,10000
Andrew Alvarez,90,SERRA DO NAVIO,AP,20842441964,92817913,371,53.7831,True,True,10000,0,5061,4939,10000
Michael Lewis,73,ABAÍRA,BA,00891731806,76409412012409,371,53.7831,True,False,10000,0,5061,4939,10000
Sonia Alvarado,42,ABAIARA,CE,21276936478,93726913,371,53.7831,True,True,10000,0,5061,4939,10000
Elizabeth Miller,79,Brasília,distrito federal,72350990036,41178451869687,6,53.7831,True,False,10000,0,5061,4939,10000
Marc Cook,72,AFONSO CLÁUDIO,ES,44359336403,31571913,371,53.7831,True,True,10000,0,5061,4939,10000
Patricia Mendoza,51,ABADIA DE GOIÁS,GO,62029146889,20732732058505,371,53.7831,True,False,10000,0,5061,4939,10000
Michael Garcia,23,AÇAILÂNDIA,MA,64633032240,41439613,371,53.7831,True,True,10000,0,5061,4939,10000
Mr. Jesse Fletcher,21,ABADIA DOS DOURADOS,MG,81282149008,48249914729001,340,53.7831,True,False,10000,0,5061,4939,10000
Kyle Mora,63,ÁGUA CLARA,MS,614722047,29653913,370,53.7831,True,True,10000,0,5061,4939,10000
Leah Garcia,44,ACORIZAL,MT,16103865077,36497348564044,370,53.7831,True,False,10000,0,5061,4939,10000
Anna Harrison,73,ABAETETUBA,PA,78361187898,868413,370,53.7831,True,True,10000,0,5061,4939,10000
Alexander Hodges,89,ÁGUA BRANCA,PB,99647012764,95097510088121,370,53.7831,True,False,10000,0,5061,4939,10000
Anita Hernandez,30,ABREU E LIMA,PE,77322953584,10132413,370,53.7831,True,True,10000,0,5061,4939,10000
Elizabeth Sims,88,ACAUÃ,PI,87840476740,29335557552958,370,53.7831,True,False,10000,0,5061,4939,10000
David Clark,80,ABATIÁ,PR,83791685422,51219913,370,53.7831,True,True,10000,0,5061,4939,10000
Nicole Lewis,87,ANGRA DOS REIS,RJ,16921102840,17303237697749,355,53.7831,True,False,10000,0,5061,4939,10000
Angela Zamora,30,ACARI,RN,7417379907,38400113,370,53.7831,True,True,10000,0,5061,4939,10000
David Flores,28,ALTA FLORESTA D'OESTE,RO,96029631900,16724741990112,370,53.7831,True,False,10000,0,5061,4939,10000
Kent Andrews,35,AMAJARI,RR,70884125513,97138513,370,53.7831,True,True,10000,0,5061,4939,10000
Patricia Martinez,24,ACEGUÁ,RS,96758923827,96521677622226,370,53.7831,True,False,10000,0,5061,4939,10000
Meghan Morrison,42,ABDON BATISTA,SC,47591143786,14217513,370,53.7831,True,True,10000,0,5061,4939,10000
Annette Herrera,43,AMPARO DE SÃO FRANCISCO,SE,92247570062,96306007257904,370,53.7831,True,False,10000,0,5061,4939,10000
Barbara Leon MD,73,ADAMANTINA,sao  paulo,5086323231,98992213,3,53.7831,True,True,10000,0,5061,4939,10000
Justin Andersen,30,ABREULÂNDIA,TO,34245687088,26866823178760,370,53.7831,True,False,10000,0,5061,4939,10000
Wesley Lee,28,ACRELÂNDIA,AC,79111554452,34205713,371,53.7831,True,True,10000,0,5061,4939,10000
Jonathan Anderson,62,ÁGUA BRANCA,AL,14567033906,25564852664057,371,53.7831,True,False,10000,0,5061,4939,10000
Kathy Bowman,82,ALVARÃES,AM,22382453672,38323913,371,53.7831,True,True,10000,0,5061,4939,10000
Leah King,82,SERRA DO NAVIO,AP,57425502518,10007906232807,371,53.7831,True,False,10000,0,5061,4939,10000
Nicholas Johnson,70,ABAÍRA,BA,18410328674,32981913,371,53.7831,True,True,10000,0,5061,4939,10000
Matthew Fields,77,ABAIARA,CE,82777457883,50160746531098,371,53.7831,True,False,10000,0,5061,4939,10000
Thomas Smith,63,Brasília,DF,16023528449,92512713,365,53.7831,True,True,10000,0,5061,4939,10000
Sara James,40,AFONSO CLÁUDIO,ES,65550822598,35281439947766,371,53.7831,True,False,10000,0,5061,4939,10000
Keith Robinson,80,ABADIA DE GOIÁS,GO,39214566143,66501213,371,53.7831,True,True,10000,0,5061,4939,10000
Andrew Wood,86,AÇAILÂNDIA,MA,43987115629,32050721294848,371,53.7831,True,False,10000,0,5061,4939,10000
Gordon Stephens,30,ABADIA DOS DOURADOS,MG,82547425610,3691413,340,53.7831,True,True,10000,0,5061,4939,10000
Amy Davis,62,ÁGUA CLARA,MS,29745132470,64947184518795,370,53.7831,True,False,10000,0,5061,4939,10000
Kristin Mcdaniel,79,ACORIZAL,MT,82761811208,64709113,370,53.7831,True,True,10000,0,5061,4939,10000
Julie Thompson,57,ABAETETUBA,PA,53030519783,67505872613516,370,53.7831,True,False,10000,0,5061,4939,10000
Steven Ramos,66,ÁGUA BRANCA,PB,36310656473,8098413,370,53.7831,True,True,10000,0,5061,4939,10000
Allison Mueller,29,ABREU E LIMA,PE,28020391134,58190936196414,370,53.7831,True,False,10000,0,5061,4939,10000
Donna Zimmerman,56,ACAUÃ,PI,15689286885,95164513,370,53.7831,True,True,10000,0,5061,4939,10000
Kayla Curtis,78,ABATIÁ,PR,82852548011,95366516900234,370,53.7831,True,False,10000,0,5061,4939,10000
Gary Pineda,42,ANGRA DOS REIS,RJ,12458789722,38287913,355,53.7831,True,True,10000,0,5061,4939,10000
Lisa Baxter,24,ACARI,RN,68379697650,65357433374222,370,53.7831,True,False,10000,0,5061,4939,10000
Michelle Wilson,27,ALTA FLORESTA D'OESTE,RO,27377207027,33963213,370,53.7831,True,True,10000,0,5061,4939,10000
Pamela Black,55,AMAJARI,RR,54283791466,08157026681165,370,53.7831,True,False,10000,0,5061,4939,10000
Michael Boyd,41,ACEGUÁ,RS,31063350093,27199713,370,53.7831,True,True,10000,0,5061,4939,10000
Carolyn Taylor,62,ABDON BATISTA,SC,54042845525,89986256634645,370,53.7831,True,False,10000,0,5061,4939,10000
Nathan Floyd,76,AMPARO DE SÃO FRANCISCO,SE,11772208140,92625613,370,53.7831,True,True,10000,0,5061,4939,10000
Stephen Torres,48,ADAMANTINA,sao  paulo,92254599470,51006075009924,3,53.7831,True,False,10000,0,5061,4939,10000
Emily Wilson,86,ABREULÂNDIA,TO,57057488769,96720213,370,53.7831,True,True,10000,0,5061,4939,10000
Amanda Hobbs,80,ACRELÂNDIA,AC,05055277580,54492254062557,371,53.7831,True,False,10000,0,5061,4939,10000
Randy Bailey,32,ÁGUA BRANCA,AL,53066383415,40303913,371,53.7831,True,True,10000,0,5061,4939,10000
Heather Mccarthy,42,ALVARÃES,AM,61865290700,86838303214241,371,53.7831,True,False,10000,0,5061,4939,10000
William Davis,82,SERRA DO NAVIO,AP,28870789330,3081312,371,53.7831,True,True,10000,0,5061,4939,10000
Devin Morris,38,ABAÍRA,BA,19435641679,76472727172260,371,53.7831,True,False,10000,0,5061,4939,10000
Jenna White,32,ABAIARA,CE,72407555252,40260413,371,53.7831,True,True,10000,0,5061,4939,10000
Kimberly Sherman,77,Brasília,DF,73212451955,02500244436617,365,53.7831,True,False,10000,0,5061,4939,10000
David Mitchell,36,AFONSO CLÁUDIO,ES,72992871702,21213512,371,53.7831,True,True,10000,0,5061,4939,10000
Victoria Sweeney,30,ABADIA DE GOIÁS,GO,75146548013,75527460849622,371,53.7831,True,False,10000,0,5061,4939,10000
Patrick Johnson,72,AÇAILÂNDIA,MA,75069665227,80060413,371,53.7831,True,True,10000,0,5061,4939,10000
Kevin Miller,33,ABADIA DOS DOURADOS,MG,27921075533,87627534085606,340,53.7831,True,False,10000,0,5061,4939,10000
Lauren Morrison,76,ÁGUA CLARA,MS,25053233136,33874613,370,53.7831,True,True,10000,0,5061,4939,10000
Bridget Jones,37,ACORIZAL,MT,52210218977,69774398704001,370,53.7831,True,False,10000,0,5061,4939,10000
Joseph Rios,63,ABAETETUBA,PA,73693717605,84169813,370,53.7831,True,True,10000,0,5061,4939,10000
Julie Walls,49,ÁGUA BRANCA,PB,28426029353,17121235479235,370,53.7831,True,False,10000,0,5061,4939,10000
John Martinez,55,ABREU E LIMA,PE,24865138099,38279313,370,53.7831,True,True,10000,0,5061,4939,10000
David Martinez,25,ACAUÃ,PI,60533839378,84780241685002,370,53.7831,True,False,10000,0,5061,4939,10000
Seth Shea,87,ABATIÁ,PR,8800362907,49405213,370,53.7831,True,True,10000,0,5061,4939,10000
Jaclyn Daniels,57,ANGRA DOS REIS,RJ,67643003050,46293293704892,355,53.7831,True,False,10000,0,5061,4939,10000
Darrell Smith,80,ACARI,RN,99103515524,25226413,370,53.7831,True,True,10000,0,5061,4939,10000
Joseph Williams,23,ALTA FLORESTA D'OESTE,RO,67827753604,89386233730232,370,53.7831,True,False,10000,0,5061,4939,10000
Michelle Schmidt,40,AMAJARI,RR,2584310759,31364413,370,53.7831,True,True,10000,0,5061,4939,10000
Christopher Crane,63,ACEGUÁ,RS,53198067014,14409710614409,370,53.7831,True,False,10000,0,5061,4939,10000
Melody Arnold,28,ABDON BATISTA,SC,99587407024,70289913,370,53.7831,True,True,10000,0,5061,4939,10000
Frank Miller,35,AMPARO DE SÃO FRANCISCO,SE,21086642708,05601484952360,370,53.7831,True,False,10000,0,5061,4939,10000
Kelli Poole,22,ADAMANTINA,sao  paulo,34228364209,97538613,3,53.7831,True,True,10000,0,5061,4939,10000
Brian Grant,40,ABREULÂNDIA,TO,25926134390,89905193753905,370,53.7831,True,False,10000,0,5061,4939,10000
Alan Juarez,81,ACRELÂNDIA,AC,24323027451,61168512,371,53.7831,True,True,10000,0,5061,4939,10000
Jennifer Herrera,44,ÁGUA BRANCA,AL,05944330538,44338019631100,371,53.7831,True,False,10000,0,5061,4939,10000
Michael Anderson,47,ALVARÃES,AM,25816374206,47059112,371,53.7831,True,True,10000,0,5061,4939,10000
Mr. Derrick Walker III,67,SERRA DO NAVIO,AP,86709815722,72983983233406,371,53.7831,True,False,10000,0,5061,4939,10000
Lisa Adams,56,ABAÍRA,BA,17102683367,77524312,371,53.7831,True,True,10000,0,5061,4939,10000
Phyllis Davis,81,ABAIARA,CE,10941674363,25441970136802,371,53.7831,True,False,10000,0,5061,4939,10000
Kimberly Gaines,26,Brasília,DF,58990464145,51208713,365,53.7831,True,True,10000,0,5061,4939,10000
Erika White,39,AFONSO CLÁUDIO,ES,86455095987,50531473539297,371,53.7831,True,False,10000,0,5061,4939,10000
Stephanie Petersen,32,ABADIA DE GOIÁS,GO,20318573202,32598213,371,53.7831,True,True,10000,0,5061,4939,10000
Timothy Thomas,57,AÇAILÂNDIA,MA,22135657409,83845376709590,371,53.7831,True,False,10000,0,5061,4939,10000
Travis Griffin,23,ABADIA DOS DOURADOS,MG,19965886725,92969513,340,53.7831,True,True,10000,0,5061,4939,10000
John Robinson,31,ÁGUA CLARA,MS,80671201379,08547368162755,370,53.7831,True,False,10000,0,5061,4939,10000
Emily Smith,79,ACORIZAL,MT,31530403626,30097413,370,53.7831,True,True,10000,0,5061,4939,10000
Tyler Fernandez,26,ABAETETUBA,PA,66089333204,85336615215932,370,53.7831,True,False,10000,0,5061,4939,10000
Steven Martinez,37,ÁGUA BRANCA,PB,75262527701,99235613,370,53.7831,True,True,10000,0,5061,4939,10000
Meghan Coffey,63,ABREU E LIMA,PE,66635918191,47268825370408,370,53.7831,True,False,10000,0,5061,4939,10000
